Day_Of_Week,Dep_Delay,Arr_Delay,Flight_Duration,Delay_Carrier,Delay_Weather,Delay_NAS,Delay_Security,Delay_LastAircraft,Aicraft_age,LATITUDE,LONGITUDE,tavg,tmin,tmax,prcp,snow,wdir,wspd,pres,Month,Day,Airline,Tail_Number,Dep_Airport,DepTime_label,Arr_Airport,Distance_type,Manufacturer,Model,Dep_Delay_Tag
5,7,18,141,7,0,11,0,0,10,39.85841,-104.667,1.3,-4.3,10.0,0.0,0.0,91.0,21.2,1021.2,10,27,Southwest Airlines Co.,N8652B,DEN,Afternoon,PSP,Short Haul >1500Mi,BOEING,737 NG,1
6,-3,-11,107,0,0,0,0,0,17,39.85841,-104.667,14.7,6.7,25.0,0.0,0.0,235.0,11.2,1020.3,9,16,Southwest Airlines Co.,N296WN,DEN,Afternoon,LIT,Short Haul >1500Mi,BOEING,737 NG,0
6,-9,-10,58,0,0,0,0,0,21,41.70895,-86.31847,17.2,8.9,26.1,0.0,0.0,346.0,6.1,1015.0,6,17,Skywest Airlines Inc.,N916EV,SBN,Afternoon,ORD,Short Haul >1500Mi,CANADAIR REGIONAL JET,CRJ,0
3,-5,-19,71,0,0,0,0,0,1,38.85208,-77.03772,16.4,10.0,22.8,0.0,0.0,317.0,7.9,1012.0,10,11,Republic Airways,N761YX,DCA,Afternoon,EWR,Short Haul >1500Mi,EMBRAER,170/175,0
5,-10,-3,265,0,0,0,0,0,4,25.79325,-80.29056,28.0,25.6,32.8,9.7,0.0,37.0,5.8,1012.7,9,15,Frontier Airlines Inc.,N375FR,MIA,Morning,DEN,Medium Haul <3000Mi,AIRBUS,A320,0
5,5,2,132,0,0,0,0,0,24,36.12448,-86.67818,11.4,3.3,15.0,12.7,0.0,292.0,19.8,1011.4,3,17,Southwest Airlines Co.,N767SW,BNA,Evening,HOU,Short Haul >1500Mi,BOEING,737 NG,1
4,21,14,147,0,0,0,0,0,6,47.44898,-122.30931,21.4,15.0,28.9,0.0,0.0,338.0,11.2,1019.6,8,3,Alaska Airlines Inc.,N971AK,SEA,Afternoon,LAS,Short Haul >1500Mi,BOEING,737 NG,1
7,2,1,115,0,0,0,0,0,9,30.40728,-89.07009,21.6,17.8,25.6,0.0,0.0,152.0,7.9,1018.2,2,26,American Eagle Airlines Inc.,N217NN,GPT,Afternoon,DFW,Short Haul >1500Mi,EMBRAER,170/175,1
3,-3,-6,139,0,0,0,0,0,7,32.89595,-97.0372,19.9,12.8,29.4,0.0,0.0,215.0,23.0,1007.9,1,11,American Eagle Airlines Inc.,N249NN,DFW,Evening,GJT,Short Haul >1500Mi,EMBRAER,170/175,0
3,6,-9,105,0,0,0,0,0,5,37.50517,-77.31967,18.7,12.8,25.0,0.0,0.0,32.0,11.5,1020.7,5,31,Southwest Airlines Co.,N8805L,RIC,Morning,MDW,Short Haul >1500Mi,BOEING,737 NG,1
